date,gross,net_10,net_50,turnover,model
2006-01-31,-0.0011977531125193985,-0.0016977531125193985,-0.0036977531125193986,0.5,surface_cnn
2006-02-28,0.0028524017840522477,0.0023940263851013996,0.0005605247892980078,0.45837539895084806,surface_cnn
2006-03-31,0.0007763048171076431,0.00034151199426091537,-0.0013976592971259956,0.4347928228467277,surface_cnn
2006-04-28,0.014943904861034672,0.014520643465657566,0.012827597884149146,0.42326139537710517,surface_cnn
2006-05-31,0.00960493225089953,0.009129156955358058,0.007226055773192169,0.47577529554147235,surface_cnn
2006-06-30,0.026819425718716643,0.026290107584912948,0.024172835049698166,0.5293181338036956,surface_cnn
2006-07-31,0.00261159854342847,0.0020976823817182187,0.000042017734877213865,0.5139161617102512,surface_cnn
2006-08-31,-0.0014034144867259596,-0.0018356041567187229,-0.0035643628366897762,0.4321896699927633,surface_cnn
2006-09-29,-0.008453911456380307,-0.008855556433235755,-0.010462136340657553,0.4016449768554493,surface_cnn
2006-10-31,-0.0013631886884853672,-0.001757790455810289,-0.0033361975251099763,0.3946017673249218,surface_cnn
2006-11-30,0.026456397644987244,0.026035195713316993,0.024350387986635982,0.42120193167025205,surface_cnn
2006-12-29,0.003166075780926144,0.0027714367361000667,0.001192880556795757,0.39463904482607737,surface_cnn
2007-01-31,0.012140848259266264,0.01152459827252863,0.009059598325578093,0.6162499867376342,surface_cnn
2007-02-28,0.0088859689698799,0.008385494492890291,0.006383596584931863,0.5004744769896073,surface_cnn
2007-03-30,-0.000450541857070071,-0.0009565410157726878,-0.002980537650583155,0.5059991587026168,surface_cnn
2007-04-30,0.0020080145195546404,0.0014988400181295985,-0.0005378579875705701,0.5091745014250421,surface_cnn
2007-05-31,0.0064403102046555576,0.005945331819641786,0.003965418279586698,0.4949783850137719,surface_cnn
2007-06-29,0.00894573625123267,0.008453059373186302,0.006482351861000836,0.4926768780463669,surface_cnn
2007-07-31,0.018262377010333463,0.01771794162218645,0.015540200069598392,0.5444353881470141,surface_cnn
2007-08-31,-0.014683863876329832,-0.015227945104477832,-0.017404270017069835,0.5440812281480003,surface_cnn
2007-09-28,0.000606231618332682,0.00014470380798136095,-0.0017014074334239229,0.461527810351321,surface_cnn
2007-10-31,0.021736099848833547,0.021192548049383246,0.019018340851582046,0.5435517994502999,surface_cnn
2007-11-30,0.012743736932695758,0.01222541771644966,0.010152140851465272,0.5183192162460971,surface_cnn
2007-12-31,0.023705833292642944,0.023213623492962163,0.021244784294239035,0.4922097996807817,surface_cnn
2008-01-31,0.0643891206582128,0.06375363879948037,0.06121171136455064,0.6354818587324306,surface_cnn
2008-02-29,0.033474103657576935,0.03307888756996888,0.03149802321953665,0.3952160876080567,surface_cnn
2008-03-31,0.014108923808804864,0.013702152184264946,0.012075065686105276,0.40677162453991766,surface_cnn
2008-04-30,0.023366200553498046,0.02297889315013614,0.02142966353668852,0.38730740336190506,surface_cnn
2008-05-30,0.06365801034880472,0.06325601821663926,0.061648049687977435,0.40199213216545737,surface_cnn
2008-06-30,-0.007245481127788665,-0.007677676622278069,-0.009406458600235685,0.4321954944894041,surface_cnn
2008-07-31,-0.005410787147237981,-0.005815720906128078,-0.007435455941688465,0.4049337588900968,surface_cnn
2008-08-29,0.038791805421996735,0.03845521294929748,0.037108843058500485,0.3365924726992502,surface_cnn
2008-09-30,0.06266986227686927,0.062207059408996804,0.06035584793750695,0.46280286787246416,surface_cnn
2008-10-31,0.09773557751336173,0.09725994175245085,0.09535739870880737,0.4756357609108735,surface_cnn
2008-11-28,-0.01634723660562011,-0.016757103992465983,-0.018396573539849474,0.40986738684587254,surface_cnn
2008-12-31,0.04997251997980222,0.04958854033123579,0.048052621736970086,0.38397964856642686,surface_cnn
2009-01-30,0.04319900413906193,0.04271271415606844,0.040767554224094484,0.4862899829934883,surface_cnn
2009-02-27,-0.014910779036792353,-0.015336250966727888,-0.017038138686470024,0.4254719299355342,surface_cnn
2009-03-31,-0.06260887823470204,-0.06304717491064131,-0.06480036161439838,0.4382966759392667,surface_cnn
2009-04-30,-0.009358164588131832,-0.00980216492822675,-0.011578166288606416,0.44400034009491673,surface_cnn
2009-05-29,0.017256241227168522,0.016726927229324635,0.014609671237949089,0.5293139978438869,surface_cnn
2009-06-30,-0.015093240560541468,-0.015635195998765426,-0.01780301775166126,0.5419554382239583,surface_cnn
2009-07-31,-0.01763951754084505,-0.018160056566453423,-0.020242212668886914,0.5205390256083731,surface_cnn
2009-08-31,-0.005307400079522561,-0.005775506249577106,-0.007647930929795288,0.4681061700545455,surface_cnn
2009-09-30,0.031526062416977384,0.031046728814599543,0.029129394405088188,0.47933360237783884,surface_cnn
2009-10-30,-0.0024447874630861123,-0.0030025146373311214,-0.005233423334311158,0.557727174245009,surface_cnn
2009-11-30,0.0006165723466187991,0.00006700416795876957,-0.002131268546681348,0.5495681786600295,surface_cnn
2009-12-31,-0.005736088798914725,-0.0062729384559822455,-0.008420337084252329,0.5368496570675209,surface_cnn
2010-01-29,0.006685190166848794,0.006055944059400661,0.00353895962960813,0.6292461074481328,surface_cnn
2010-02-26,-0.000568391935966671,-0.0012506141505827383,-0.003979503009047007,0.6822222146160672,surface_cnn
2010-03-31,0.00006215054387967217,-0.0005565643073609679,-0.0030314237123235284,0.6187148512406401,surface_cnn
2010-04-30,0.016150906286010708,0.015575186214785024,0.013272305929882287,0.5757200712256839,surface_cnn
2010-05-28,0.012006629197177541,0.011367922629709823,0.00881309635983895,0.6387065674677184,surface_cnn
2010-06-30,0.004406436600716426,0.0037832243762165956,0.0012903754782172738,0.6232122244998304,surface_cnn
2010-07-30,0.0040353186237993485,0.00335558125403308,0.0006366317749680072,0.6797373697662683,surface_cnn
2010-08-31,0.014322517770135528,0.01368214874968628,0.011120672667889289,0.6403690204492478,surface_cnn
2010-09-30,-0.001791347820079703,-0.0024668082866680097,-0.005168650153021237,0.6754604665883066,surface_cnn
2010-10-29,-0.0008575036661661896,-0.0015304747683488186,-0.004222359177079333,0.6729711021826288,surface_cnn
2010-11-30,0.00024772078277774095,-0.0004034934163977724,-0.003008350213099825,0.6512141991755133,surface_cnn
2010-12-31,-0.0007654132452595067,-0.001426538393612736,-0.004071038987025653,0.6611251483532292,surface_cnn
2011-01-31,0.009417656438165396,0.008707689310032539,0.005867820797501108,0.7099671281328577,surface_cnn
2011-02-28,0.0049776844179786174,0.004385011023730142,0.0020143174467362403,0.5926733942484754,surface_cnn
2011-03-31,0.0017065371125357493,0.00110859998093722,-0.0012831485454568986,0.5979371315985296,surface_cnn
2011-04-29,0.002507312140575582,0.0019283469628507926,-0.00038751374804836406,0.5789651777247892,surface_cnn
2011-05-31,0.014748166218709828,0.014161786382657318,0.011816267038447275,0.5863798360525105,surface_cnn
2011-06-30,0.004241464430910263,0.003667065386807082,0.0013694692103943598,0.5743990441031805,surface_cnn
2011-07-29,0.008577919971688419,0.008011210716220737,0.005744373694350004,0.5667092554676829,surface_cnn
2011-08-31,0.0180041300050017,0.017381940784122044,0.014893183900603416,0.6221892208796569,surface_cnn
