date,market
2006-01-31,0.0338
2006-02-28,0.0004000000000000002
2006-03-31,0.0184
2006-04-28,0.0109
2006-05-31,-0.0313
2006-06-30,0.0005999999999999998
2006-07-31,-0.0037
2006-08-31,0.024499999999999997
2006-09-29,0.0225
2006-10-31,0.0363
2006-11-30,0.0212
2006-12-29,0.0125
2007-01-31,0.0182
2007-02-28,-0.015799999999999998
2007-03-30,0.0114
2007-04-30,0.0393
2007-05-31,0.036500000000000005
2007-06-29,-0.0156
2007-07-31,-0.03320000000000001
2007-08-31,0.013600000000000001
2007-09-28,0.0354
2007-10-31,0.0211
2007-11-30,-0.0446
2007-12-31,-0.005999999999999999
2008-01-31,-0.06110000000000001
2008-02-29,-0.0296
2008-03-31,-0.0077
2008-04-30,0.047900000000000005
2008-05-30,0.0205
2008-06-30,-0.0826
2008-07-31,-0.006
2008-08-29,0.0166
2008-09-30,-0.092
2008-10-31,-0.1712
2008-11-28,-0.07710000000000002
2008-12-31,0.0177
2009-01-30,-0.0809
2009-02-27,-0.1013
2009-03-31,0.0903
2009-04-30,0.1018
2009-05-29,0.052000000000000005
2009-06-30,0.0043
2009-07-31,0.07750000000000001
2009-08-31,0.033400000000000006
2009-09-30,0.040900000000000006
2009-10-30,-0.0255
2009-11-30,0.0558
2009-12-31,0.027500000000000004
2010-01-29,-0.0335
2010-02-26,0.0339
2010-03-31,0.0631
2010-04-30,0.0201
2010-05-28,-0.0789
2010-06-30,-0.055600000000000004
2010-07-30,0.0693
2010-08-31,-0.047599999999999996
2010-09-30,0.09560000000000002
2010-10-29,0.03880000000000001
2010-11-30,0.006
2010-12-31,0.06830000000000001
2011-01-31,0.0199
2011-02-28,0.0349
2011-03-31,0.0047
2011-04-29,0.028999999999999998
2011-05-31,-0.012700000000000001
2011-06-30,-0.0174
2011-07-29,-0.0235
2011-08-31,-0.0595
2011-09-30,-0.0757
2011-10-31,0.1134
2011-11-30,-0.0027
2011-12-30,0.0075
2012-01-31,0.050499999999999996
2012-02-29,0.044000000000000004
2012-03-30,0.0311
2012-04-30,-0.0084
2012-05-31,-0.061599999999999995
2012-06-29,0.039
2012-07-31,0.0079
2012-08-31,0.025500000000000002
2012-09-28,0.0274
2012-10-31,-0.0175
2012-11-30,0.0079
2012-12-31,0.011899999999999999
2013-01-31,0.055700000000000006
2013-02-28,0.0129
2013-03-28,0.0403
2013-04-30,0.015600000000000001
2013-05-31,0.0281
2013-06-28,-0.012
2013-07-31,0.0565
2013-08-30,-0.0271
2013-09-30,0.037700000000000004
2013-10-31,0.0417
2013-11-29,0.031200000000000002
2013-12-31,0.027999999999999997
2014-01-31,-0.033
2014-02-28,0.0468
2014-03-31,0.0040999999999999995
2014-04-30,-0.0019
2014-05-30,0.0204
2014-06-30,0.026099999999999998
2014-07-31,-0.0203
2014-08-29,0.0424
2014-09-30,-0.0196
2014-10-31,0.025099999999999997
2014-11-28,0.0256
2014-12-31,-0.0005
2015-01-30,-0.0309
2015-02-27,0.061399999999999996
2015-03-31,-0.010900000000000002
2015-04-30,0.006
2015-05-29,0.0138
2015-06-30,-0.0154
2015-07-31,0.015700000000000002
2015-08-31,-0.0602
2015-09-30,-0.030600000000000002
2015-10-30,0.0775
2015-11-30,0.005699999999999999
2015-12-31,-0.0214
2016-01-29,-0.057300000000000004
2016-02-29,-0.0005000000000000001
2016-03-31,0.06970000000000001
2016-04-29,0.0092
2016-05-31,0.0179
2016-06-30,-0.00009999999999999996
2016-07-29,0.039599999999999996
2016-08-31,0.0050999999999999995
2016-09-30,0.0029000000000000002
2016-10-31,-0.0199
2016-11-30,0.0486
2016-12-30,0.018400000000000003
2017-01-31,0.0198
2017-02-28,0.035899999999999994
2017-03-31,0.002
2017-04-28,0.011300000000000001
2017-05-31,0.011300000000000001
2017-06-30,0.008400000000000001
2017-07-31,0.0195
2017-08-31,0.0027
2017-09-29,0.025800000000000003
2017-10-31,0.0234
2017-11-30,0.032
2017-12-29,0.0115
2018-01-31,0.0569
2018-02-28,-0.035300000000000005
2018-03-29,-0.0223
2018-04-30,0.0043
2018-05-31,0.027700000000000002
2018-06-29,0.0063
2018-07-31,0.0336
2018-08-31,0.036199999999999996
2018-09-28,0.0021
2018-10-31,-0.0745
2018-11-30,0.0189
2018-12-31,-0.09360000000000002
2019-01-31,0.0857
2019-02-28,0.036000000000000004
2019-03-29,0.012900000000000002
2019-04-30,0.041800000000000004
2019-05-31,-0.06709999999999999
2019-06-28,0.0717
2019-07-31,0.014100000000000001
2019-08-30,-0.023899999999999998
2019-09-30,0.016
2019-10-31,0.0222
2019-11-29,0.039900000000000005
2019-12-31,0.028999999999999998
2020-01-31,0.0004000000000000002
2020-02-28,-0.0803
2020-03-31,-0.1323
2020-04-30,0.1358
2020-05-29,0.056
2020-06-30,0.0245
2020-08-31,0.0763
2020-09-30,-0.0363
2020-10-30,-0.020700000000000003
2020-11-30,0.1245
2020-12-31,0.046400000000000004
2021-01-29,-0.0007000000000000001
2021-02-26,0.0281
2021-03-31,0.0316
2021-04-30,0.0497
2021-05-28,0.0029
2021-06-30,0.0273
2021-07-30,0.0134
2021-08-31,0.029500000000000002
2021-09-30,-0.044000000000000004
2021-10-29,0.0663
2021-11-30,-0.0158
2021-12-31,0.03250000000000001
2022-01-31,-0.061500000000000006
2022-02-28,-0.022799999999999997
2022-03-31,0.0308
2022-04-29,-0.0941
2022-05-31,-0.0030000000000000005
2022-06-30,-0.0834
2022-07-29,0.0965
2022-08-31,-0.035800000000000005
2022-09-30,-0.0915
2022-10-31,0.0809
2022-11-30,0.049800000000000004
2022-12-30,-0.0605
2023-01-31,0.0695
2023-02-28,-0.0223
2023-03-31,0.0285
2023-04-28,0.0098
2023-05-31,0.0069
2023-06-30,0.06860000000000001
2023-07-31,0.03660000000000001
2023-08-31,-0.0191
2023-09-29,-0.04800000000000001
2023-10-31,-0.0268
2023-11-30,0.0932
2023-12-29,0.05279999999999999
2024-01-31,0.012
2024-02-29,0.054900000000000004
2024-03-28,0.0327
2024-04-30,-0.041800000000000004
2024-05-31,0.0476
2024-06-28,0.0321
2024-07-31,0.0167
2024-08-30,0.0209
2024-09-30,0.0213
2024-10-31,-0.0060999999999999995
2024-11-29,0.0689
2024-12-31,-0.0279
2025-01-31,0.0317
2025-02-28,-0.021
2025-03-31,-0.0605
2025-04-30,-0.0049
2025-05-30,0.0644
2025-06-30,0.052000000000000005
2025-07-31,0.023200000000000002
2025-08-29,0.0222
